belief,bin,lo,hi,n,p_mean,y_mean,weight,y_mean_money
p_sell,1,0.05,0.1,147,0.09261407545411221,0.32653061224489793,268126.59,0.2930167052808899
p_sell,2,0.1,0.15000000000000002,359,0.1124662609009018,0.3174797490361227,807457.41,0.3268625919318169
p_sell,3,0.15000000000000002,0.2,721,0.17776067999111966,0.12618821192320895,1472064.55,0.1436093951537504
p_sell,4,0.2,0.25,612,0.22425612368898012,0.3168029921956016,1341226.8699999999,0.3043999058114003
p_sell,5,0.25,0.30000000000000004,827,0.2770604188333414,0.13775375304089332,1688434.89,0.13318117973393379
p_sell,6,0.30000000000000004,0.35000000000000003,901,0.32695879569163955,0.2995555768451132,1755069.1099999999,0.3117081722459725
p_sell,7,0.35000000000000003,0.4,1320,0.37600750173093334,0.48468619591886125,2595644.77,0.4671959463344729
p_sell,8,0.4,0.45,877,0.43475528937538294,0.28147597456972734,1753784.04,0.2725110999665163
p_sell,9,0.45,0.5,1378,0.4716769671326148,0.45773497042170846,2825692.38,0.4336062346513103
p_sell,10,0.5,0.55,1440,0.5271035689522616,0.5398185670159462,2825109.3199999994,0.5157255017434959
p_sell,11,0.55,0.6000000000000001,878,0.565284295236662,0.7180992525653126,1779875.35,0.7392560838990451
p_sell,12,0.6000000000000001,0.65,1320,0.6240303770569453,0.5141266049910093,2426491.13,0.5493601333118705
p_sell,13,0.65,0.7000000000000001,900,0.673066805646481,0.7006695149340857,1814576.6099999999,0.7132887238740532
p_sell,14,0.7000000000000001,0.75,822,0.7227749800788645,0.8601865435356494,1680931.3199999998,0.8609530115143449
p_sell,15,0.75,0.8,620,0.7756536327457163,0.6815892752646995,1276994.8900000001,0.7309892609599646
p_sell,16,0.8,0.8500000000000001,719,0.822370722846179,0.8769704889737978,1502019.35,0.8954921382241987
p_sell,17,0.8500000000000001,0.9,357,0.8876039561248635,0.6795890115760415,710002.34,0.5991826779191982
p_sell,18,0.9,0.9500000000000001,148,0.9073360196503075,0.6754430513962769,280035.6,0.6701132440142279
p_true,1,0.05,0.1,150,0.09272006269365934,0.32,271890.84,0.28895997378948113
p_true,2,0.1,0.15000000000000002,354,0.11235904592249135,0.3219639262823956,803693.16,0.3283935151409672
p_true,3,0.15000000000000002,0.2,723,0.17770045669635817,0.12445601769935499,1471230.45,0.14120734766791823
p_true,4,0.2,0.25,615,0.2243712046418293,0.3168836280060296,1345212.68,0.30621409463648464
p_true,5,0.25,0.30000000000000004,823,0.2771227142772641,0.13842327310427555,1685202.23,0.1334366561775406
p_true,6,0.30000000000000004,0.35000000000000003,900,0.3268810112032271,0.29766652342669414,1754065.35,0.31126814884261045
p_true,7,0.35000000000000003,0.4,1322,0.37596681885112754,0.48546556903654997,2599001.63,0.46700987435251257
p_true,8,0.4,0.45,871,0.43464692694441603,0.2765322597474959,1736612.78,0.26663502633279973
p_true,9,0.45,0.5,1411,0.47213396989579665,0.46190808683434265,2890709.63,0.43833236249245316
p_true,10,0.5,0.55,1419,0.5277089277498456,0.5372375240862588,2794723.6999999997,0.5116824238593907
p_true,11,0.55,0.6000000000000001,871,0.5653530730555839,0.7227223234814517,1758199.92,0.7472647200833922
p_true,12,0.6000000000000001,0.65,1322,0.6240331811488724,0.5141052334252135,2428434.04,0.5497206754097678
p_true,13,0.65,0.7000000000000001,900,0.6731189887967729,0.7017732865087035,1814550.8599999999,0.7132818927952966
p_true,14,0.7000000000000001,0.75,823,0.7228772857227359,0.8603644524533995,1682390.7400000002,0.8610766097222187
p_true,15,0.75,0.8,615,0.7756287953581706,0.6822568699085939,1265473.1400000001,0.7311805469199489
p_true,16,0.8,0.8500000000000001,723,0.8222995433036419,0.8748812686618106,1512107.4300000002,0.893979508888907
p_true,17,0.8500000000000001,0.9,354,0.8876409540775086,0.6768864150357975,701680.7100000001,0.5944471758394849
p_true,18,0.9,0.9500000000000001,150,0.9072799373063405,0.6797403854441565,288357.23,0.6795895194478845
